Player,Age,?Games,?Games_Started,?Minutes_Played_Per_Game,?Field_Goals_Per_Game,?Field_Goal_Attempts_Per_Game,?Field_Goal_Percentage,?3-Point_Field_Goals_Per_Game,?3-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_3-Pt_FGAs.,?2-Point_Field_Goals_Per_Game,?2-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_2-Pt_FGAs.,?Effective_Field_Goal_Percentage,?Free_Throws_Per_Game,?Free_Throw_Attempts_Per_Game,?Free_Throw_Percentage,?Offensive_Rebounds_Per_Game,?Defensive_Rebounds_Per_Game,?Total_Rebounds_Per_Game,?Assists_Per_Game,?Steals_Per_Game,?Blocks_Per_Game,?Turnovers_Per_Game,?Personal_Fouls_Per_Game,?Points_Per_Game,?Minutes_Played,?Player_Efficiency_Rating,?True_Shooting_Percentage,3-Point_Attempt_Rate,?Free_Throw_Attempt_Rate,?Offensive_Rebound_Percentage,?Defensive_Rebound_Percentage,?Total_Rebound_Percentage,?Assist_Percentage,?Steal_Percentage,?Block_Percentage,?Turnover_Percentage,?Usage_Percentage,?Offensive_Win_Shares,?Defensive_Win_Shares,?Win_Shares,?Win_Shares_Per_48_Minutes,?Offensive_Box_Plus/Minus,?Defensive_Box_Plus/Minus,?Box_Plus/Minus,?Value_over_Replacement_Player,Total_salary
Tyrone Wallace\wallaty01,23,30,19,28.4,3.7,8.2,0.445,0.3,1.3,0.25,3.3,6.9,0.483,0.466,2,2.6,0.782,0.7,2.8,3.5,2.4,0.9,0.4,1.5,2.8,9.7,851,10.1,0.517,0.162,0.316,2.7,10.7,6.8,11.8,1.5,1.3,14.1,16.6,0.2,0.5,0.7,0.042,-2.1,0.2,-2,0,1349383
Tyson Chandler\chandty01,35,46,46,25,2.6,4.1,0.647,0,0,,2.6,4.1,0.647,0.647,1.3,2,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,1151,14.2,0.658,0,0.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,1.9,0.8,2.7,0.111,-1.3,1,-0.3,0.5,15978887
Tyus Jones\jonesty01,21,82,11,17.9,1.8,4,0.457,0.5,1.6,0.349,1.3,2.4,0.528,0.526,0.9,1,0.877,0.2,1.4,1.6,2.8,1.2,0.1,0.7,1.3,5.1,1467,14.1,0.572,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14,12.7,2.3,1.2,3.6,0.117,0.8,-0.3,0.5,0.9,2444053
Udonis Haslem\hasleud01,37,14,0,5.1,0.2,1.1,0.2,0.1,0.6,0.125,0.1,0.5,0.286,0.233,0.1,0.1,0.5,0.2,0.5,0.7,0.4,0,0.1,0.1,0.2,0.6,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0,2.4,11.2,11.1,-0.1,0.1,-0.1,-0.059,-7.1,-0.4,-7.5,-0.1,2393887
Victor Oladipo\oladivi01,25,75,75,34,8.5,17.9,0.477,2.1,5.8,0.371,6.4,12.1,0.528,0.537,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,2552,23.1,0.577,0.323,0.274,2.1,15.1,8.6,21.2,3.5,2,12.7,30.1,4.3,4,8.2,0.155,3.6,1.3,4.9,4.5,21000000
Vince Carter\cartevi01,41,58,5,17.7,2,4.9,0.403,1,2.8,0.345,1,2,0.483,0.504,0.5,0.6,0.757,0.3,2.2,2.6,1.2,0.7,0.4,0.6,1.7,5.4,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.5,0.4,-1.1,0.2,2393887
Wade Baldwin\baldwwa01,21,7,0,11.4,2,3,0.667,0.6,0.7,0.8,1.4,2.3,0.625,0.762,0.9,1.4,0.6,0.1,1,1.1,0.7,0.3,0.1,0.6,1.7,5.4,80,16.6,0.748,0.238,0.476,1.4,9.5,5.5,9.8,1.2,1,13.6,16.1,0.2,0.1,0.3,0.187,1.1,-1.1,0,0,1544951
Walt Lemon\lemonwa01,25,5,0,7,1.4,3.2,0.438,0.2,0.2,1,1.2,3,0.4,0.469,0.4,0.6,0.667,0,0.4,0.4,1,0,0.2,0.8,1,3.4,35,6.9,0.491,0.063,0.188,0,6,3.1,21.1,0,2.3,18.8,26.4,-0.1,0,-0.1,-0.071,-7.5,-4.2,-11.7,-0.1,99107
Wayne Ellington\ellinwa01,30,77,2,26.5,3.7,9.1,0.407,2.9,7.5,0.392,0.8,1.6,0.479,0.569,0.9,1,0.859,0.3,2.5,2.8,1,0.7,0.1,0.7,1.2,11.2,2041,12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1.8,-1.8,0,1,8653076
Wayne Selden\seldewa01,23,35,9,19.8,3.3,7.7,0.431,1.4,3.5,0.402,1.9,4.2,0.456,0.522,1.3,1.7,0.746,0.5,1.1,1.6,1.9,0.5,0.1,1.5,1.7,9.3,692,11.8,0.551,0.454,0.219,2.6,6.8,4.7,16,1.3,0.7,15.5,22.6,0.1,0.2,0.3,0.023,-0.7,-3.3,-4,-0.4,1544951
Wesley Iwundu\iwundwe01,23,62,12,16.5,1.5,3.5,0.427,0.1,0.7,0.196,1.4,2.8,0.488,0.447,0.5,0.8,0.723,0.6,1.6,2.2,0.9,0.5,0.2,0.5,1.3,3.7,1020,7.8,0.48,0.211,0.216,3.9,11,7.4,7.8,1.6,0.9,11.2,11.6,0,0.7,0.7,0.032,-3.7,0.2,-3.5,-0.4,1378242
Wesley Johnson\johnswe01,30,74,40,20.1,2,5,0.408,0.8,2.4,0.339,1.2,2.6,0.471,0.489,0.6,0.8,0.741,0.4,2.5,2.9,0.8,1,0.8,0.7,2,5.4,1486,9.8,0.512,0.481,0.158,2.2,13.6,8,5.6,2.5,3.5,12.3,13,-0.1,1.7,1.7,0.055,-2,2.3,0.3,0.9,6134520
Wesley Matthews\matthwe02,31,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,2131,11.4,0.541,0.577,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1,1.6,2.6,0.059,0.2,-0.2,0.1,1.1,19360229
Will Barton\bartowi01,27,81,40,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5,4.1,1,0.6,1.8,2.1,15.7,2683,16.2,0.562,0.411,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,0.9,2,11830358
Willie Cauley-Stein\caulewi01,24,73,58,28,5.3,10.6,0.502,0,0.2,0.25,5.3,10.4,0.506,0.504,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,2.5,12.8,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2,4696875
Willy Hernang?mez\hernawi01,23,96,2,10.4,1.9,3.433333333,0.555333333,0.1,0.266666667,0.396,1.766666667,3.2,0.566,0.570333333,1.266666667,1.933333333,0.614333333,1.3,2.566666667,3.9,0.666666667,0.4,0.333333333,0.7,1.333333333,5.166666667,330,21.03333333,0.603666667,0.073,0.547333333,13.2,26.96666667,20.03333333,10.63333333,1.8,2.733333333,14.66666667,21.03333333,0.733333333,0.466666667,1.2,0.169666667,0,0.8,0.833333333,0.266666667,1544951
Wilson Chandler\chandwi01,30,74,71,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4,5.4,2.1,0.6,0.5,1.2,2.1,10,2346,10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6,12800562
Yogi Ferrell\ferreyo01,24,82,21,27.8,3.8,8.9,0.426,1.6,4.4,0.373,2.2,4.5,0.477,0.518,1,1.3,0.796,0.3,2.7,3,2.5,0.8,0.1,1,1.9,10.2,2282,11.4,0.54,0.492,0.141,1.2,11.2,6.1,13.5,1.4,0.4,9.1,17,1.5,1.5,3,0.064,-0.4,-0.6,-1,0.6,3000000
Zach Collins\colliza01,20,66,1,15.8,1.7,4.4,0.398,0.5,1.7,0.31,1.2,2.7,0.455,0.458,0.4,0.6,0.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2,4.4,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,3628920
Zach LaVine\lavinza01,22,24,24,27.3,5.7,14.8,0.383,1.8,5.1,0.341,3.9,9.7,0.405,0.442,3.6,4.5,0.813,0.4,3.5,3.9,3,1,0.2,1.8,2.3,16.7,656,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.6,-2,-2.7,-0.1,19500000
Zach Randolph\randoza01,36,59,57,25.6,6.1,12.9,0.473,0.9,2.5,0.347,5.3,10.4,0.503,0.507,1.4,1.8,0.785,1.6,5.1,6.7,2.2,0.7,0.2,2,2,14.5,1508,17.3,0.529,0.193,0.14,7,23.7,15,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,0.048,-0.6,-1.2,-1.8,0.1,11692308
Zaza Pachulia\pachuza01,33,69,57,14.1,2.2,3.8,0.564,0,0,0,2.2,3.8,0.567,0.564,1.1,1.3,0.806,1.3,3.4,4.7,1.6,0.6,0.2,1,1.8,5.4,972,17,0.612,0.004,0.352,11,25,18.5,15.2,1.9,1.4,19.1,17,1.8,1.4,3.3,0.161,-0.5,1.3,0.8,0.7,2393887
Zhou Qi\qizh01,22,18,0,6.9,0.3,1.8,0.188,0.1,1.1,0.105,0.2,0.7,0.308,0.219,0.4,0.7,0.667,0.3,0.9,1.2,0.1,0.1,0.8,0.6,0.8,1.2,124,1.9,0.295,0.594,0.375,5.5,14.4,10,2.1,0.8,9.6,21.2,16.8,-0.5,0.2,-0.3,-0.104,-10.3,3.1,-7.2,-0.2,506134
